window,byte_volume,bwd_byte_volume,fwd_packet_count,flow_bytes_per_s,flow_packets_per_s,avg_packet_size,label
0,54625,1720193,974,21508443.98310345,83309.01965569393,146.1869866514,0
1,14629,74270,229,1913567.1994432681,150097.46962991002,97.7309972106,0
2,45837,1116623,759,107927.1935020518,1856.9389907901198,198.9935508446,0
3,34490,2204771,1218,569118.3070239922,47118.517207769975,247.84572811860002,0
4,51217,1493104,832,151810.9786406084,2900.30216100754,174.262288012,0
5,6658,15852,110,547757.733159774,10421.96467963182,81.22035713999999,0
6,67479,1419630,992,106678.73820241753,1854.77471701286,257.595630958,0
7,3623,7948,91,434252.66703958885,7787.63124979222,77.8025,0
8,26544,83493,234,354792.8319985851,4804.41969488154,160.737754394,0
9,38030,112076,306,495143.2836536198,57439.95444244416,164.170429766,0
10,12052,16775,113,607817.99245874,21563.792544132724,109.75078431399999,0
11,14977,96597,202,807992.1698271162,38022.68872819656,157.0815977066,0
12,16509,79537,198,432368.35263814026,14368.1755127938,131.6169959776,0
13,15721,57698,185,793777.3495970942,32438.431759350657,115.6292604312,0
14,14448,58207,183,1058518.740215272,69493.68965212726,116.4115439426,0
15,7792,29271,198,1041505.8708339978,73809.79024721784,86.80266885526,0
16,19701,55150,234,422553.79906956595,33455.57530583458,69.28964231660001,0
17,30864,30699,278,5059828.1022345545,87788.88645230254,103.8682205974,0
18,25680,4922,224,42410197.22601181,140415.0719448694,97.7613706436,0
19,21975,32578,180,957570.5268226855,81615.21532901078,70.74665154964,0
20,32764,12720,231,1685864.4664768968,35199.2095104072,65.64929367052,0
21,14218,27278,246,1202929.521173358,142171.1640867006,76.1036321288,0
22,16650,89781,288,3146012.5578625943,145883.55094838736,79.5098874056,0
23,38013,769548,629,163463.9294991998,2726.0126579872,234.6731961146,0
24,11011,22633,117,197425.966432386,2854.50802123826,95.265111112,0
25,35656,36715,212,13150559.187448971,163359.4105983499,102.49450740340001,0
26,6655,19151,139,287401.80401992815,28976.082209087257,69.4864704906,0
27,11319,67089,352,424127.75369846664,26870.112437791722,90.4924137066,0
28,13915,43340,237,842164.6284877268,31377.55352824432,90.8804627592,0
29,65761,46580,414,38272513.2727067,174984.8579706599,143.3633074878,0
30,49217,21213,203,33965986.87778523,169140.5677339083,137.618845491,0
31,3723,22772,140,438154.3045647744,36338.19919134394,65.4138571434,0
32,50299,160952,529,33773270.04382681,130229.78273777875,215.8217121886,0
33,82799,2450329,1623,6515.2646751872,92.34396328545999,450.45206622999996,0
34,4068,10938,87,464297.97674172395,6314.5184813543,105.34,0
35,21197,155754,377,373376.0981873327,5415.58391329736,155.22465668,0
36,6559,12610,102,370286.0818152189,6441.1999127349,84.498108108,0
37,30180,2101922,1084,619960.5190829783,39198.4520428868,201.9632329254,0
38,28617,4192981,1749,449254.27445055457,8264.446612829499,308.10971716259996,0
39,12324,465631,325,252231.69011098228,3328.13630696778,126.511728022,0
40,24887,414747,347,436920.02676174603,35743.23250951848,113.36716454699999,0
41,56751,498590,560,419890.5485603184,66561.06317437353,175.07455154260003,0
42,22234,687621,650,619358.7593680014,37517.44414536378,198.7075723992,0
43,3421,8389,86,319093.00435706234,5485.767626949801,86.23333333340001,0
