window,privesc_count,urg_sum,psh_sum,rst_sum,label
0,12,12,0,0,0
1,5,5,0,0,0
5,2,2,0,0,0
7,1,1,0,0,0
8,1,1,0,0,0
9,3,3,0,0,0
10,1,1,0,0,0
11,1,1,0,0,0
13,3,3,0,0,0
14,4,4,0,0,0
15,5,5,0,0,0
16,10,10,0,0,0
17,3,3,0,0,0
18,18,18,0,0,0
19,11,11,0,0,0
20,10,10,0,0,0
21,2,2,0,0,0
22,7,7,0,0,0
25,10,10,0,0,0
26,15,15,0,0,0
27,6,6,0,0,0
28,3,3,0,0,0
29,15,15,0,0,0
30,23,23,0,0,0
31,9,9,0,0,0
32,5,5,0,0,0
41,1,1,0,0,0
42,1,1,0,0,0
43,2,2,0,0,0
44,2,2,0,0,0
45,3,3,0,0,0
46,9,9,0,0,0
48,3,3,0,0,0
49,21,21,0,0,0
50,2,2,0,0,0
51,6,6,0,0,0
52,2,2,0,0,0
53,15,15,0,0,0
66,1,1,0,0,0
69,7,7,0,0,0
70,11,11,0,0,0
71,2,2,0,0,0
72,3,3,0,0,0
73,3,3,0,0,0
75,8,8,0,0,0
76,6,6,0,0,0
77,19,19,0,0,0
78,20,20,0,0,0
79,18,18,0,0,0
80,2,2,0,0,0
82,1,1,0,0,0
83,4,4,0,0,0
84,1,1,0,0,0
85,19,19,0,0,0
91,2,2,0,0,0
94,1,1,0,0,0
95,5,5,0,0,0
96,5,5,0,0,0
97,2,2,0,0,0
98,6,6,0,0,0
99,11,11,0,0,0
103,5,5,0,0,0
104,2,2,0,0,0
107,2,2,0,0,0
108,3,3,0,0,0
109,1,1,0,0,0
110,5,5,0,0,0
111,4,4,0,0,0
112,3,3,0,0,0
113,30,30,0,0,0
114,8,8,0,0,0
115,3,3,0,0,0
116,21,21,0,0,0
117,8,8,0,0,0
118,6,6,0,0,0
120,1,1,0,0,0
122,5,5,0,0,0
123,1,1,0,0,0
124,1,1,0,0,0
125,1,1,0,0,0
126,14,14,0,0,0
127,11,11,0,0,0
128,5,5,0,0,0
129,12,12,0,0,0
130,5,5,0,0,0
133,7,7,0,0,0
135,4,4,0,0,0
136,1,1,0,0,0
137,4,4,0,0,0
139,5,5,0,0,0
140,5,5,0,0,0
141,22,22,0,0,0
142,24,24,0,0,0
143,10,10,0,0,0
144,4,4,0,0,0
145,7,7,0,0,0
146,9,9,0,0,0
147,2,2,0,0,0
148,1,1,0,0,0
149,3,3,0,0,0
150,6,6,0,0,0
151,1,1,0,0,0
154,1,1,0,0,0
156,4,4,0,0,0
157,1,1,0,0,0
161,3,3,0,0,0
162,2,2,0,0,0
163,3,3,0,0,0
165,3,3,0,0,0
166,2,2,0,0,0
167,6,6,0,0,0
169,16,16,0,0,0
170,17,17,0,0,0
171,23,23,0,0,0
172,31,31,0,0,0
173,13,13,0,0,0
174,9,9,0,0,0
175,5,5,0,0,0
176,6,6,0,0,0
177,15,15,0,0,0
178,4,4,0,0,0
179,3,3,0,0,0
183,1,1,0,0,0
184,3,3,0,0,0
186,1,1,0,0,0
187,8,8,0,0,0
188,1,1,0,0,0
189,3,3,0,0,0
190,7,7,0,0,0
191,5,5,0,0,0
193,3,3,0,0,0
194,1,1,0,0,0
195,5,5,0,0,0
196,16,16,0,0,0
197,21,21,0,0,0
198,13,13,0,0,0
199,5,5,0,0,0
200,1,1,0,0,0
201,2,2,0,0,0
203,1,1,0,0,0
204,6,6,0,0,0
205,4,4,0,0,0
