window,avg_asymmetry,max_asymmetry,asymmetry_entropy,down_up_ratio,init_win_fwd,label
0,0.2995736302301,0.9995173745173745,2.6322471451535927,0.8,4121.9,0
1,0.5094853792991496,0.9880952380952381,2.8920274084670328,0.48,2941.3,0
2,0.4667356082671192,0.9846775784201502,3.027281062891987,0.92,2134.32,0
3,0.6309559397744788,0.9864374360851945,3.1389122456763054,0.78,3970.54,0
4,0.38073760864746736,0.9848114734974088,2.8089695442402998,0.86,2456.9,0
5,0.3637238322099465,0.9230769230769231,2.77050625206659,0.9,1185.18,0
6,0.5346299333636523,0.984825517993457,3.1237323235138423,0.72,4425.54,0
7,0.3421182792814637,0.7719298245614035,3.026495760962361,0.98,13.08,0
8,0.5309230906527698,0.9695550351288056,3.200756631406302,0.8,2486.12,0
9,0.6111173857138614,0.9230769230769231,2.964751250210697,0.52,8920.56,0
10,0.4849045024704078,0.9473684210526315,2.8769296584237636,0.94,352.36,0
11,0.6645101140973363,0.9772727272727273,2.6296161874576502,0.58,3373.74,0
12,0.4101212875388282,0.9957446808510638,2.964107451387086,0.88,1806.6,0
13,0.4281292580606251,0.9736842105263158,3.05018600344652,0.72,2452.56,0
14,0.5017594599358584,0.9962546816479401,3.0166912610488996,0.68,4682.88,0
15,0.6182383948188742,0.9994874423372629,2.93018600344652,0.48,3542.08,0
16,0.5757805089966144,0.9994874423372629,2.4254241064456266,0.36,3390.76,0
17,0.5534729741995702,0.9994874423372629,2.9980046145239694,0.62,7684.44,0
18,0.45161163349034994,0.9995173745173745,2.5184390733840343,0.7,8233.16,0
19,0.4407102785089513,0.9833333333333333,2.7040672942835693,0.66,5492.88,0
20,0.46279117335708087,0.999675535366645,2.3093605444133773,0.58,7411.92,0
21,0.4637558370327325,0.9230769230769231,2.6677110700184037,0.52,7192.64,0
22,0.5451338802581884,0.9984639016897081,2.911671993777683,0.68,4657.36,0
23,0.5640931307076695,0.9820549630844955,2.8807566314063022,0.76,15602.04,0
24,0.39243019906369403,0.7012345679012346,3.003935554819426,1.0,583.02,0
25,0.5119259435762903,0.9999497436928334,2.704381434245677,0.48,10160.02,0
