window,label,maxz_s1,anom_s1,maxz_s2,anom_s2,maxz_s3,anom_s3,maxz_s4,anom_s4,maxz_s5,anom_s5,maxz_s6,anom_s6,confidence,flag_count,alert_level,alert_binary,iforest_score,iforest_pred,pred_fusion2,pred_fusion3,pred_fusion1
0,0,4.4518,1,0.2128,0.0,0.4187,0.0,0.6943,0.0,0.2772,0.0,1.3514,0,0.25,1,low,0,0.0975333289636896,1,0,0,1
1,0,0.7696,0,0.0,0.0,1.2031,0.0,1.0035,0.0,0.3644,0.0,0.5391,0,0.0,0,none,0,-0.05582941688913717,0,0,0,0
2,0,0.6849,0,0.0,0.0,0.992,0.0,1.7184,0.0,0.0,0.0,0.6969,0,0.0,0,none,0,-0.05591666957722696,0,0,0,0
3,0,0.9514,0,0.0,0.0,0.3553,0.0,1.7939,0.0,0.0,0.0,0.928,0,0.0,0,none,0,-0.026625738639716012,0,0,0,0
4,0,0.6746,0,0.0,0.0,0.9202,0.0,0.9871,0.0,0.0,0.0,0.7931,0,0.0,0,none,0,-0.07022127550523666,0,0,0,0
5,0,0.6008,0,0.0,0.0,1.2359,0.0,0.7193,0.0,0.6379,0.0,0.9101,0,0.0,0,none,0,-0.05606355593405704,0,0,0,0
6,0,1.0315,0,0.8853,0.0,0.1918,0.0,1.6989,0.0,0.0,0.0,0.8094,0,0.0,0,none,0,-0.034707061760306135,0,0,0,0
7,0,0.6267,0,0.0,0.0,1.8107,0.0,0.0,0.0,0.7291,0.0,1.0587,0,0.0,0,none,0,-0.011834002870458715,0,0,0,0
8,0,0.6559,0,0.3362,0.0,0.792,0.0,1.1173,0.0,0.7291,0.0,0.8993,0,0.0,0,none,0,-0.06368191868650952,0,0,0,0
9,0,0.2639,0,0.8853,0.0,0.7236,0.0,1.2672,0.0,0.5468,0.0,0.7915,0,0.0,0,none,0,-0.03221778317625473,0,0,0,0
10,0,0.4915,0,0.0,0.0,1.6052,0.0,1.4583,0.0,0.7291,0.0,0.5215,0,0.0,0,none,0,-0.03658066242887792,0,0,0,0
11,0,0.33,0,0.0,0.0,1.1955,0.0,1.2581,0.0,0.7291,0.0,1.1588,0,0.0,0,none,0,-0.024954323428308334,0,0,0,0
12,0,0.5621,0,0.0,0.0,1.0572,0.0,1.2474,0.0,0.0,0.0,0.6232,0,0.0,0,none,0,-0.06765252071107519,0,0,0,0
13,0,0.3848,0,0.0,0.0,0.5093,0.0,1.1839,0.0,0.5468,0.0,0.7236,0,0.0,0,none,0,-0.05691624715216925,0,0,0,0
14,0,0.1886,0,0.0,0.0,0.3723,0.0,0.341,0.0,0.4556,0.0,0.6846,0,0.0,0,none,0,0.007662466747288377,1,0,0,0
15,0,0.3717,0,0.0,0.0,1.4786,0.0,0.8641,0.0,0.3644,0.0,0.8405,0,0.0,0,none,0,-0.04683465765076883,0,0,0,0
16,0,0.5156,0,0.0,0.0,1.0958,0.0,0.7498,0.0,0.1757,0.0,0.6509,0,0.0,0,none,0,-0.06123278610724614,0,0,0,0
17,0,0.7613,0,0.0,0.0,0.8691,0.0,0.5324,0.0,0.5468,0.0,0.6628,0,0.0,0,none,0,-0.055506134986333444,0,0,0,0
18,0,9.1415,1,0.3362,0.0,0.7921,0.0,1.1009,0.0,0.8227,0.0,0.3056,0,0.25,1,low,0,0.2458057006109935,1,0,0,1
19,0,0.5036,0,0.0,0.0,0.398,0.0,0.7317,0.0,0.1863,0.0,0.3806,0,0.0,0,none,0,-0.026923695297701,0,0,0,0
20,0,0.5455,0,0.3362,0.0,2.0178,0.0,1.0883,0.0,0.1757,0.0,0.2934,0,0.0,0,none,0,-0.01749124191475343,0,0,0,0
