window,label,maxz_s1,anom_s1,maxz_s2,anom_s2,maxz_s3,anom_s3,maxz_s4,anom_s4,maxz_s5,anom_s5,maxz_s6,anom_s6,confidence,flag_count,alert_level,alert_binary,velocity_s4,vel_zscore_s4,vel_alert_s4,accel_s4,velocity_s1,vel_zscore_s1,vel_alert_s1,velocity_s6,vel_zscore_s6,vel_alert_s6,vel_flag_count,enhanced_alert,velocity_only_alert,orig_fusion2
0,0,4.4518,1,0.2128,0.0,0.4187,0.0,0.6943,0.0,0.2772,0.0,1.3514,0,0.25,1,low,0,0.0,-0.0001,0.0,0.0,0.0,-0.0001,0,0.0,-0.0001,0,0,0,0,0
1,0,0.7696,0,0.0,0.0,1.2031,0.0,1.0035,0.0,0.3644,0.0,0.5391,0,0.0,0,none,0,0.30920000000000003,0.0905,0.0,0.30920000000000003,-3.6822000000000004,2.1124,0,-0.8122999999999999,1.4986,0,0,0,0,0
2,0,0.6849,0,0.0,0.0,0.992,0.0,1.7184,0.0,0.0,0.0,0.6969,0,0.0,0,none,0,0.7148999999999999,0.2094,0.0,0.40569999999999984,-0.0847,0.0485,0,0.15779999999999994,0.291,0,0,0,0,0
3,0,0.9514,0,0.0,0.0,0.3553,0.0,1.7939,0.0,0.0,0.0,0.928,0,0.0,0,none,0,0.07550000000000012,0.022,0.0,-0.6393999999999997,0.26650000000000007,0.1528,0,0.23110000000000008,0.4263,0,0,0,0,0
4,0,0.6746,0,0.0,0.0,0.9202,0.0,0.9871,0.0,0.0,0.0,0.7931,0,0.0,0,none,0,-0.8068000000000001,0.2364,0.0,-0.8823000000000002,-0.27680000000000005,0.1587,0,-0.13490000000000002,0.2488,0,0,0,0,0
5,0,0.6008,0,0.0,0.0,1.2359,0.0,0.7193,0.0,0.6379,0.0,0.9101,0,0.0,0,none,0,-0.2677999999999999,0.0784,0.0,0.5390000000000001,-0.07379999999999998,0.0423,0,0.11699999999999999,0.2158,0,0,0,0,0
6,0,1.0315,0,0.8853,0.0,0.1918,0.0,1.6989,0.0,0.0,0.0,0.8094,0,0.0,0,none,0,0.9796,0.287,0.0,1.2473999999999998,0.4307000000000001,0.247,0,-0.10070000000000001,0.1857,0,0,0,0,0
7,0,0.6267,0,0.0,0.0,1.8107,0.0,0.0,0.0,0.7291,0.0,1.0587,0,0.0,0,none,0,0.0,0.0,0.0,0.0,-0.40480000000000005,0.2322,0,0.24929999999999997,0.4599,0,0,0,0,0
8,0,0.6559,0,0.3362,0.0,0.792,0.0,1.1173,0.0,0.7291,0.0,0.8993,0,0.0,0,none,0,-0.5816000000000001,0.1704,0.0,-1.5612000000000001,0.029200000000000004,0.0167,0,-0.1594,0.294,0,0,0,0,0
9,0,0.2639,0,0.8853,0.0,0.7236,0.0,1.2672,0.0,0.5468,0.0,0.7915,0,0.0,0,none,0,0.14990000000000014,0.0438,0.0,0.7315000000000003,-0.392,0.2248,0,-0.1078,0.1988,0,0,0,0,0
10,0,0.4915,0,0.0,0.0,1.6052,0.0,1.4583,0.0,0.7291,0.0,0.5215,0,0.0,0,none,0,0.19109999999999983,0.0559,0.0,0.04119999999999968,0.22759999999999997,0.1305,0,-0.27,0.4981,0,0,0,0,0
11,0,0.33,0,0.0,0.0,1.1955,0.0,1.2581,0.0,0.7291,0.0,1.1588,0,0.0,0,none,0,-0.20019999999999993,0.0586,0.0,-0.39129999999999976,-0.16149999999999998,0.0926,0,0.6373000000000001,1.1757,0,0,0,0,0
12,0,0.5621,0,0.0,0.0,1.0572,0.0,1.2474,0.0,0.0,0.0,0.6232,0,0.0,0,none,0,-0.010699999999999932,0.003,0.0,0.1895,0.23210000000000003,0.1331,0,-0.5356000000000001,0.9881,0,0,0,0,0
13,0,0.3848,0,0.0,0.0,0.5093,0.0,1.1839,0.0,0.5468,0.0,0.7236,0,0.0,0,none,0,-0.06350000000000011,0.0185,0.0,-0.05280000000000018,-0.17730000000000007,0.1016,0,0.10040000000000004,0.1851,0,0,0,0,0
14,0,0.1886,0,0.0,0.0,0.3723,0.0,0.341,0.0,0.4556,0.0,0.6846,0,0.0,0,none,0,-0.8429,0.2469,0.0,-0.7793999999999999,-0.19619999999999999,0.1125,0,-0.039000000000000035,0.0719,0,0,0,0,0
15,0,0.3717,0,0.0,0.0,1.4786,0.0,0.8641,0.0,0.3644,0.0,0.8405,0,0.0,0,none,0,0.5230999999999999,0.1532,0.0,1.3659999999999999,0.18309999999999998,0.105,0,0.15590000000000004,0.2875,0,0,0,0,0
16,0,0.5156,0,0.0,0.0,1.0958,0.0,0.7498,0.0,0.1757,0.0,0.6509,0,0.0,0,none,0,-0.11429999999999996,0.0334,0.0,-0.6373999999999999,0.14389999999999997,0.0825,0,-0.1896,0.3497,0,0,0,0,0
17,0,0.7613,0,0.0,0.0,0.8691,0.0,0.5324,0.0,0.5468,0.0,0.6628,0,0.0,0,none,0,-0.21740000000000004,0.0636,0.0,-0.10310000000000008,0.24570000000000003,0.1409,0,0.01189999999999991,0.0219,0,0,0,0,0
18,0,9.1415,1,0.3362,0.0,0.7921,0.0,1.1009,0.0,0.8227,0.0,0.3056,0,0.25,1,low,0,0.5685,0.1665,0.0,0.7859,8.3802,4.8077,1,-0.35719999999999996,0.6589,0,1,0,0,0
19,0,0.5036,0,0.0,0.0,0.398,0.0,0.7317,0.0,0.1863,0.0,0.3806,0,0.0,0,none,0,-0.3692,0.1081,0.0,-0.9377,-8.6379,4.9556,1,0.07500000000000001,0.1383,0,1,0,0,0
20,0,0.5455,0,0.3362,0.0,2.0178,0.0,1.0883,0.0,0.1757,0.0,0.2934,0,0.0,0,none,0,0.35660000000000003,0.1044,0.0,0.7258,0.04189999999999994,0.024,0,-0.0872,0.1608,0,0,0,0,0
21,0,0.6918,0,0.0,0.0,1.5627,0.0,0.8841,0.0,0.6379,0.0,0.3909,0,0.0,0,none,0,-0.20420000000000005,0.0598,0.0,-0.5608000000000001,0.14629999999999999,0.0839,0,0.09750000000000003,0.1798,0,0,0,0,0
22,0,0.7282,0,0.7618,0.0,0.9196,0.0,0.7792,0.0,0.182,0.0,0.562,0,0.0,0,none,0,-0.1049,0.0306,0.0,0.09930000000000005,0.03639999999999999,0.0208,0,0.17110000000000003,0.3156,0,0,0,0,0
