window,label,maxz_s1,anom_s1,maxz_s2,anom_s2,maxz_s3,anom_s3,maxz_s4,anom_s4,maxz_s5,anom_s5,maxz_s6,anom_s6,confidence,flag_count,alert_level,alert_binary,velocity_s4,vel_zscore_s4,vel_alert_s4,accel_s4,velocity_s1,vel_zscore_s1,vel_alert_s1,velocity_s6,vel_zscore_s6,vel_alert_s6,vel_flag_count,enhanced_alert,velocity_only_alert,orig_fusion2,js_divergence,js_alert
0,0,4.4518,1,0.2128,0.0,0.4187,0.0,0.6943,0.0,0.2772,0.0,1.3514,0,0.25,1,low,0,0.0,-0.0001,0.0,0.0,0.0,-0.0001,0,0.0,-0.0001,0,0,0,0,0,0.451819,1
1,0,0.7696,0,0.0,0.0,1.2031,0.0,1.0035,0.0,0.3644,0.0,0.5391,0,0.0,0,none,0,0.3092,0.0905,0.0,0.3092,-3.6822,2.1124,0,-0.8122999999999999,1.4986,0,0,0,0,0,0.450706,1
2,0,0.6849,0,0.0,0.0,0.992,0.0,1.7184,0.0,0.0,0.0,0.6969,0,0.0,0,none,0,0.7148999999999999,0.2094,0.0,0.4056999999999998,-0.0847,0.0485,0,0.1577999999999999,0.291,0,0,0,0,0,0.364639,0
3,0,0.9514,0,0.0,0.0,0.3553,0.0,1.7939,0.0,0.0,0.0,0.928,0,0.0,0,none,0,0.0755000000000001,0.022,0.0,-0.6393999999999997,0.2665,0.1528,0,0.2311,0.4263,0,0,0,0,0,0.37742,0
4,0,0.6746,0,0.0,0.0,0.9202,0.0,0.9871,0.0,0.0,0.0,0.7931,0,0.0,0,none,0,-0.8068000000000001,0.2364,0.0,-0.8823000000000002,-0.2768,0.1587,0,-0.1349,0.2488,0,0,0,0,0,0.386786,0
5,0,0.6008,0,0.0,0.0,1.2359,0.0,0.7193,0.0,0.6379,0.0,0.9101,0,0.0,0,none,0,-0.2677999999999999,0.0784,0.0,0.5390000000000001,-0.0737999999999999,0.0423,0,0.1169999999999999,0.2158,0,0,0,0,0,0.379666,0
6,0,1.0315,0,0.8853,0.0,0.1918,0.0,1.6989,0.0,0.0,0.0,0.8094,0,0.0,0,none,0,0.9796,0.287,0.0,1.2473999999999998,0.4307000000000001,0.247,0,-0.1007,0.1857,0,0,0,0,0,0.382216,0
7,0,0.6267,0,0.0,0.0,1.8107,0.0,0.0,0.0,0.7291,0.0,1.0587,0,0.0,0,none,0,0.0,0.0,0.0,0.0,-0.4048,0.2322,0,0.2492999999999999,0.4599,0,0,0,0,0,0.303953,0
8,0,0.6559,0,0.3362,0.0,0.792,0.0,1.1173,0.0,0.7291,0.0,0.8993,0,0.0,0,none,0,-0.5816000000000001,0.1704,0.0,-1.5612,0.0292,0.0167,0,-0.1594,0.294,0,0,0,0,0,0.302155,0
9,0,0.2639,0,0.8853,0.0,0.7236,0.0,1.2672,0.0,0.5468,0.0,0.7915,0,0.0,0,none,0,0.1499000000000001,0.0438,0.0,0.7315000000000003,-0.392,0.2248,0,-0.1078,0.1988,0,0,0,0,0,0.300799,0
10,0,0.4915,0,0.0,0.0,1.6052,0.0,1.4583,0.0,0.7291,0.0,0.5215,0,0.0,0,none,0,0.1910999999999998,0.0559,0.0,0.0411999999999996,0.2275999999999999,0.1305,0,-0.27,0.4981,0,0,0,0,0,0.332422,0
11,0,0.33,0,0.0,0.0,1.1955,0.0,1.2581,0.0,0.7291,0.0,1.1588,0,0.0,0,none,0,-0.2001999999999999,0.0586,0.0,-0.3912999999999997,-0.1614999999999999,0.0926,0,0.6373000000000001,1.1757,0,0,0,0,0,0.365665,0
12,0,0.5621,0,0.0,0.0,1.0572,0.0,1.2474,0.0,0.0,0.0,0.6232,0,0.0,0,none,0,-0.0106999999999999,0.003,0.0,0.1895,0.2321,0.1331,0,-0.5356000000000001,0.9881,0,0,0,0,0,0.359969,0
13,0,0.3848,0,0.0,0.0,0.5093,0.0,1.1839,0.0,0.5468,0.0,0.7236,0,0.0,0,none,0,-0.0635000000000001,0.0185,0.0,-0.0528000000000001,-0.1773,0.1016,0,0.1004,0.1851,0,0,0,0,0,0.427697,0
14,0,0.1886,0,0.0,0.0,0.3723,0.0,0.341,0.0,0.4556,0.0,0.6846,0,0.0,0,none,0,-0.8429,0.2469,0.0,-0.7793999999999999,-0.1961999999999999,0.1125,0,-0.039,0.0719,0,0,0,0,0,0.438915,0
15,0,0.3717,0,0.0,0.0,1.4786,0.0,0.8641,0.0,0.3644,0.0,0.8405,0,0.0,0,none,0,0.5230999999999999,0.1532,0.0,1.366,0.1830999999999999,0.105,0,0.1559,0.2875,0,0,0,0,0,0.438562,0
16,0,0.5156,0,0.0,0.0,1.0958,0.0,0.7498,0.0,0.1757,0.0,0.6509,0,0.0,0,none,0,-0.1142999999999999,0.0334,0.0,-0.6373999999999999,0.1438999999999999,0.0825,0,-0.1896,0.3497,0,0,0,0,0,0.438562,0
17,0,0.7613,0,0.0,0.0,0.8691,0.0,0.5324,0.0,0.5468,0.0,0.6628,0,0.0,0,none,0,-0.2174,0.0636,0.0,-0.1031,0.2457,0.1409,0,0.0118999999999999,0.0219,0,0,0,0,0,0.452071,1
18,0,9.1415,1,0.3362,0.0,0.7921,0.0,1.1009,0.0,0.8227,0.0,0.3056,0,0.25,1,low,0,0.5685,0.1665,0.0,0.7859,8.3802,4.8077,1,-0.3571999999999999,0.6589,0,1,0,0,0,0.45708,1
19,0,0.5036,0,0.0,0.0,0.398,0.0,0.7317,0.0,0.1863,0.0,0.3806,0,0.0,0,none,0,-0.3692,0.1081,0.0,-0.9377,-8.6379,4.9556,1,0.075,0.1383,0,1,0,0,0,0.390693,0
20,0,0.5455,0,0.3362,0.0,2.0178,0.0,1.0883,0.0,0.1757,0.0,0.2934,0,0.0,0,none,0,0.3566,0.1044,0.0,0.7258,0.0418999999999999,0.024,0,-0.0872,0.1608,0,0,0,0,0,0.390693,0
21,0,0.6918,0,0.0,0.0,1.5627,0.0,0.8841,0.0,0.6379,0.0,0.3909,0,0.0,0,none,0,-0.2042,0.0598,0.0,-0.5608000000000001,0.1462999999999999,0.0839,0,0.0975,0.1798,0,0,0,0,0,0.409999,0
22,0,0.7282,0,0.7618,0.0,0.9196,0.0,0.7792,0.0,0.182,0.0,0.562,0,0.0,0,none,0,-0.1049,0.0306,0.0,0.0993,0.0363999999999999,0.0208,0,0.1711,0.3156,0,0,0,0,0,0.411278,0
23,0,0.8431,0,0.0,0.0,0.1918,0.0,1.2023,0.0,0.0,0.0,0.526,0,0.0,0,none,0,0.4230999999999999,0.1239,0.0,0.5279999999999999,0.1149,0.0658,0,-0.036,0.0663,0,0,0,0,0,0.425988,0
24,0,0.6751,0,0.0,0.0,1.8792,0.0,1.9485,0.0,0.0,0.0,0.7127,0,0.0,0,none,0,0.7462,0.2186,0.0,0.3231,-0.1679999999999999,0.0963,0,0.1866999999999999,0.3444,0,0,0,0,0,0.407839,0
25,0,2.5766,0,0.3362,0.0,0.7921,0.0,0.5981,0.0,0.1757,0.0,0.4559,0,0.0,0,none,0,-1.3504,0.3957,0.0,-2.0966,1.9015,1.0908,0,-0.2568,0.4737,0,0,0,0,0,0.396687,0
26,0,0.514,0,0.0,0.0,0.9251,0.0,0.6793,0.0,0.55,0.0,0.8272,0,0.0,0,none,0,0.0812,0.0237,0.0,1.4316,-2.0626,1.1833,0,0.3713,0.685,0,0,0,0,0,0.384602,0
27,0,0.4394,0,0.0,0.0,0.2592,0.0,0.4669,0.0,0.2732,0.0,0.4194,0,0.0,0,none,0,-0.2124,0.0622,0.0,-0.2936000000000001,-0.0746,0.0427,0,-0.4078,0.7523,0,0,0,0,0,0.383941,0
28,0,0.3952,0,0.0,0.0,1.1817,0.0,0.6943,0.0,0.5468,0.0,0.4483,0,0.0,0,none,0,0.2274,0.0665,0.0,0.4398000000000001,-0.0442,0.0253,0,0.0288999999999999,0.0532,0,0,0,0,0,0.387953,0
29,0,8.2131,1,4.056,1.0,1.7541,0.0,1.0339,0.0,0.55,0.0,0.6801,0,0.25,1,low,0,0.3396,0.0994,0.0,0.1121999999999999,7.817900000000001,4.4851,1,0.2318,0.4276,0,1,0,0,0,0.317708,0
30,0,7.2469,1,1.8599,0.0,1.1346,0.0,0.8641,0.0,1.2773,0.0,1.0347,0,0.25,1,low,0,-0.1698,0.0497,0.0,-0.5094000000000001,-0.9662000000000006,0.5542,0,0.3545999999999999,0.6541,0,0,0,0,0,0.328464,0
31,0,0.5475,0,0.0,0.0,0.4497,0.0,1.0421,0.0,0.1757,0.0,0.433,0,0.0,0,none,0,0.178,0.0521,0.0,0.3478000000000001,-6.6994,3.8434,1,-0.6016999999999999,1.11,0,1,0,0,0,0.302479,0
32,0,7.2036,1,0.7618,0.0,0.2144,0.0,1.4146,0.0,0.3644,0.0,0.438,0,0.25,1,low,0,0.3725,0.1091,0.0,0.1945,6.6561,3.8186,1,0.005,0.0091,0,1,0,0,0,0.326447,0
33,0,2.6159,0,0.0,0.0,1.3854,0.0,1.9806,0.0,0.0,0.0,1.7716,0,0.0,0,none,0,0.5659999999999998,0.1658,0.0,0.1934999999999997,-4.5877,2.6319,1,1.3336,2.4604,0,1,0,0,0,0.34663,0
34,0,0.6411,0,0.0,0.0,1.9476,0.0,0.0,0.0,0.0,0.0,0.933,0,0.0,0,none,0,0.0,0.0,0.0,0.0,-1.9748,1.1329,0,-0.8386,1.5471,0,0,0,0,0,0.402159,0
35,0,0.6499,0,0.0,0.0,0.825,0.0,1.3191,0.0,0.0,0.0,0.7156,0,0.0,0,none,0,-0.6615,0.1938,0.0,-1.2274999999999998,0.0088,0.005,0,-0.2174,0.401,0,0,0,0,0,0.42004,0
36,0,0.6399,0,0.0,0.0,1.8792,0.0,1.9485,0.0,0.0,0.0,1.3244,0,0.0,0,none,0,0.6294,0.1844,0.0,1.2909,-0.01,0.0057,0,0.6088,1.1231,0,0,0,0,0,0.428372,0
37,0,0.5744,0,0.0,0.0,0.2353,0.0,1.5899,0.0,0.0,0.0,0.737,0,0.0,0,none,0,-0.3585999999999998,0.105,0.0,-0.9879999999999998,-0.0655,0.0375,0,-0.5874,1.0837,0,0,0,0,0,0.396478,0
38,0,1.4465,0,0.0,0.0,0.8628,0.0,2.7679,0.0,0.0,0.0,0.6953,0,0.0,0,none,0,1.178,0.3451,0.0,1.5365999999999995,0.8720999999999999,0.5003,0,-0.0416999999999999,0.0768,0,0,0,0,0,0.317041,0
39,0,0.6704,0,0.0,0.0,1.5367,0.0,1.1188,0.0,0.0,0.0,0.4517,0,0.0,0,none,0,-1.6491,0.4832,0.0,-2.8271,-0.7760999999999999,0.4452,0,-0.2436,0.4494,0,0,0,0,0,0.312931,0
40,0,0.3524,0,0.0,0.0,0.3507,0.0,0.3137,0.0,0.0,0.0,0.7893,0,0.0,0,none,0,-0.8051,0.2359,0.0,0.844,-0.318,0.1824,0,0.3376,0.6228,0,0,0,0,0,0.337123,0
41,0,0.3535,0,0.0,0.0,0.3236,0.0,0.542,0.0,0.7291,0.0,0.8759,0,0.0,0,none,0,0.2283,0.0668,0.0,1.0334,0.0010999999999999,0.0006,0,0.0866,0.1597,0,0,0,0,0,0.418227,0
42,0,0.5476,0,0.0,0.0,0.6258,0.0,1.3007,0.0,0.7291,0.0,1.1069,0,0.0,0,none,0,0.7586999999999999,0.2223,0.0,0.5303999999999999,0.1941,0.1113,0,0.2309999999999999,0.4261,0,0,0,0,0,0.476624,1
43,0,0.6492,0,0.0,0.0,1.5367,0.0,1.9485,0.0,0.6379,0.0,0.822,0,0.0,0,none,0,0.6477999999999999,0.1898,0.0,-0.1109,0.1016,0.0582,0,-0.2849,0.5255,0,0,0,0,0,0.49133,1
44,0,0.6498,0,0.0,0.0,0.449,0.0,0.8132,0.0,0.6379,0.0,0.7669,0,0.0,0,none,0,-1.1353,0.3326,0.0,-1.7831,0.0006,0.0003,0,-0.0550999999999999,0.1016,0,0,0,0,0,0.471405,1
45,0,0.6584,0,0.0,0.0,0.2005,0.0,1.4864,0.0,0.5468,0.0,0.8549,0,0.0,0,none,0,0.6731999999999999,0.1972,0.0,1.8085,0.0085999999999999,0.0049,0,0.0879999999999999,0.1623,0,0,0,0,0,0.471405,1
46,0,0.3915,0,0.0,0.0,0.3011,0.0,0.6687,0.0,0.1757,0.0,0.5084,0,0.0,0,none,0,-0.8177,0.2395,0.0,-1.4909,-0.2668999999999999,0.1531,0,-0.3465,0.6392,0,0,0,0,0,0.439221,0
47,0,0.688,0,0.0,0.0,1.2541,0.0,0.938,0.0,0.0,0.0,0.8166,0,0.0,0,none,0,0.2693,0.0788,0.0,1.087,0.2964999999999999,0.17,0,0.3082,0.5685,0,0,0,0,0,0.429462,0
48,0,0.2578,0,0.0,0.0,0.7236,0.0,0.9186,0.0,0.5468,0.0,0.6835,0,0.0,0,none,0,-0.0193999999999999,0.0056,0.0,-0.2886999999999999,-0.4301999999999999,0.2467,0,-0.1331,0.2455,0,0,0,0,0,0.446694,0
49,0,3.0264,1,0.3362,0.0,0.9976,0.0,0.59,0.0,1.0954,0.0,1.0329,0,0.25,1,low,0,-0.3286,0.0962,0.0,-0.3092,2.7686,1.5883,0,0.3493999999999999,0.6446,0,0,0,0,0,0.414513,0
50,0,1.3808,0,0.0,0.0,0.8517,0.0,1.0339,0.0,0.6379,0.0,0.5949,0,0.0,0,none,0,0.4439000000000001,0.13,0.0,0.7725000000000001,-1.6456000000000002,0.944,0,-0.4379999999999999,0.808,0,0,0,0,0,0.414513,0
51,0,2.4524,0,0.3362,0.0,0.8587,0.0,0.9616,0.0,0.2732,0.0,0.7967,0,0.0,0,none,0,-0.0723,0.0211,0.0,-0.5162000000000001,1.0716,0.6147,0,0.2017999999999999,0.3722,0,0,0,0,0,0.336797,0
52,0,0.5825,0,0.0,0.0,1.6559,0.0,0.8631,0.0,0.6379,0.0,0.7922,0,0.0,0,none,0,-0.0985,0.0288,0.0,-0.0262,-1.8699,1.0727,0,-0.0044999999999999,0.0082,0,0,0,0,0,0.310692,0
53,0,0.8637,0,0.0,0.0,1.4432,0.0,0.8423,0.0,0.55,0.0,0.9137,0,0.0,0,none,0,-0.0207999999999999,0.006,0.0,0.0777000000000001,0.2812,0.1613,0,0.1214999999999999,0.2241,0,0,0,0,0,0.311981,0
54,0,1.251,0,0.0,0.0,0.5181,0.0,1.4885,0.0,0.0,0.0,0.8872,0,0.0,0,none,0,0.6461999999999999,0.1893,0.0,0.6669999999999998,0.3872999999999998,0.2221,0,-0.0264999999999999,0.0488,0,0,0,0,0,0.311981,0
55,0,0.6406,0,0.0,0.0,1.1942,0.0,0.7792,0.0,0.0,0.0,0.7649,0,0.0,0,none,0,-0.7092999999999999,0.2078,0.0,-1.3554999999999997,-0.6103999999999999,0.3501,0,-0.1222999999999999,0.2256,0,0,0,0,0,0.345017,0
56,0,1.0812,0,0.0,0.0,1.4518,0.0,1.5128,0.0,0.0,0.0,0.8471,0,0.0,0,none,0,0.7335999999999999,0.2149,0.0,1.4428999999999998,0.4406,0.2527,0,0.0821999999999999,0.1516,0,0,0,0,0,0.345017,0
57,0,0.6121,0,0.0,0.0,1.8792,0.0,0.0,0.0,0.0,0.0,1.0984,0,0.0,0,none,0,0.0,0.0,0.0,0.0,-0.4690999999999999,0.2691,0,0.2513000000000001,0.4636,0,0,0,0,0,0.340874,0
58,0,0.2261,0,0.0,0.0,1.1674,0.0,0.4889,0.0,0.0,0.0,0.727,0,0.0,0,none,0,-1.0238999999999998,0.3,0.0,-1.7574999999999998,-0.386,0.2214,0,-0.3714,0.6851,0,0,0,0,0,0.331988,0
59,0,0.6215,0,0.0,0.0,0.9887,0.0,1.0649,0.0,0.0,0.0,0.3965,0,0.0,0,none,0,0.576,0.1687,0.0,1.5999,0.3954000000000001,0.2268,0,-0.3304999999999999,0.6097,0,0,0,0,0,0.36527,0
60,0,0.5401,0,0.0,0.0,1.4682,0.0,1.0339,0.0,0.0,0.0,0.1514,0,0.0,0,none,0,-0.0309999999999999,0.009,0.0,-0.6069999999999999,-0.0814,0.0466,0,-0.2451,0.4521,0,0,0,0,0,0.419845,0
