window,label,max_zscore,mean_zscore,is_anomaly,sig_key,z_byte_volume,z_bwd_byte_volume,z_flow_bytes_per_s,z_flow_packets_per_s,z_avg_packet_size
0,0,4.4518,0.9653,1,s1,0.1068,0.0375,4.4518,0.1143,0.1162
1,0,0.7696,0.2685,0,s1,0.1873,0.048,0.0554,0.7696,0.282
2,0,0.6849,0.3266,0,s1,0.0422,0.0061,0.3497,0.6849,0.55
3,0,0.9514,0.3085,0,s1,0.0413,0.0627,0.2463,0.2408,0.9514
4,0,0.6746,0.2938,0,s1,0.0818,0.0257,0.3399,0.6746,0.3468
5,0,0.6008,0.3133,0,s1,0.2459,0.0511,0.2511,0.6008,0.4176
6,0,1.0315,0.4579,0,s1,0.2013,0.0219,0.35,0.6849,1.0315
7,0,0.6267,0.3337,0,s1,0.2682,0.0515,0.2765,0.6267,0.4457
8,0,0.6559,0.2666,0,s1,0.0997,0.0476,0.2943,0.6559,0.2357
9,0,0.2639,0.1455,0,s1,0.0152,0.0461,0.2629,0.1395,0.2639
10,0,0.4915,0.2339,0,s1,0.2063,0.051,0.2376,0.4915,0.1832
11,0,0.33,0.192,0,s1,0.1847,0.0469,0.1927,0.33,0.2057
12,0,0.5621,0.2128,0,s1,0.1735,0.0478,0.2769,0.5621,0.0036
13,0,0.3848,0.1888,0,s1,0.1793,0.0489,0.1959,0.3848,0.1349
14,0,0.1886,0.1048,0,s1,0.1886,0.0489,0.1365,0.0213,0.1285
15,0,0.3717,0.1642,0,s1,0.2376,0.0504,0.1403,0.0211,0.3717
16,0,0.5156,0.2737,0,s1,0.15,0.049,0.2791,0.3748,0.5156
17,0,0.7613,0.2538,0,s1,0.0679,0.0503,0.7613,0.1582,0.2315
18,0,9.1415,2.0511,1,s1,0.106,0.0517,9.1415,0.6746,0.2817
19,0,0.5036,0.1888,0,s1,0.1333,0.0502,0.1591,0.0977,0.5036
20,0,0.5455,0.2025,0,s1,0.0539,0.0512,0.0043,0.3577,0.5455
21,0,0.6918,0.2993,0,s1,0.1903,0.0505,0.1041,0.6918,0.4596
22,0,0.7282,0.3423,0,s1,0.1724,0.0472,0.3319,0.7282,0.4317
23,0,0.8431,0.3768,0,s1,0.0153,0.0119,0.3373,0.6763,0.8431
24,0,0.6751,0.3143,0,s1,0.2139,0.0507,0.3297,0.6751,0.3022
25,0,2.5766,0.7604,0,s1,0.0327,0.05,2.5766,0.8997,0.2428
26,0,0.514,0.3078,0,s1,0.2459,0.0509,0.3095,0.4188,0.514
27,0,0.4394,0.2639,0,s1,0.2116,0.0484,0.2788,0.4394,0.3414
28,0,0.3952,0.2321,0,s1,0.1926,0.0497,0.185,0.3952,0.3382
29,0,8.2131,1.9116,1,s1,0.1887,0.0495,8.2131,1.0137,0.093
30,0,7.2469,1.6734,1,s1,0.067,0.0508,7.2469,0.9564,0.0458
31,0,0.5475,0.2976,0,s1,0.2675,0.0507,0.2756,0.3466,0.5475
32,0,7.2036,1.717,1,s1,0.075,0.0435,7.2036,0.5746,0.6883
33,0,2.6159,0.816,0,s1,0.314,0.0754,0.3725,0.7022,2.6159
34,0,0.6411,0.2893,0,s1,0.265,0.0513,0.2698,0.6411,0.2194
35,0,0.6499,0.2627,0,s1,0.139,0.0438,0.2902,0.6499,0.1904
36,0,0.6399,0.3239,0,s1,0.2467,0.0513,0.2909,0.6399,0.3907
37,0,0.5744,0.2516,0,s1,0.0729,0.0573,0.2349,0.3185,0.5744
38,0,1.4465,0.5184,0,s1,0.0844,0.166,0.2732,0.622,1.4465
39,0,0.6704,0.2531,0,s1,0.2043,0.0277,0.3174,0.6704,0.0455
40,0,0.3524,0.1848,0,s1,0.1119,0.0304,0.2759,0.3524,0.1535
41,0,0.3535,0.1663,0,s1,0.1225,0.026,0.2797,0.05,0.3535
42,0,0.5476,0.253,0,s1,0.1314,0.0162,0.235,0.335,0.5476
43,0,0.6492,0.3298,0,s1,0.2697,0.0515,0.3024,0.6492,0.3764
44,0,0.6498,0.2958,0,s1,0.1174,0.027,0.3245,0.6498,0.3602
45,0,0.6584,0.2648,0,s1,0.1666,0.0466,0.3533,0.6584,0.0992
46,0,0.3915,0.2486,0,s1,0.2243,0.05,0.2757,0.3915,0.3016
47,0,0.688,0.2841,0,s1,0.1907,0.0487,0.3528,0.688,0.1402
48,0,0.2578,0.1306,0,s1,0.1891,0.0487,0.1388,0.0188,0.2578
49,0,3.0264,0.8374,1,s1,0.0801,0.0479,3.0264,0.7099,0.3228
50,0,1.3808,0.3235,0,s1,0.0327,0.0503,1.3808,0.0006,0.153
51,0,2.4524,0.6107,0,s1,0.0466,0.0124,2.4524,0.2396,0.3023
52,0,0.5825,0.2149,0,s1,0.1443,0.0417,0.2354,0.5825,0.0707
53,0,0.8637,0.4464,0,s1,0.21,0.0447,0.8637,0.577,0.5367
54,0,1.251,0.4703,0,s1,0.0755,0.0067,0.3387,0.6797,1.251
55,0,0.6406,0.2823,0,s1,0.2488,0.0505,0.2782,0.6406,0.1934
56,0,1.0812,0.6048,0,s1,0.8354,0.0332,0.372,0.7021,1.0812
57,0,0.6121,0.2938,0,s1,0.2623,0.0514,0.2386,0.6121,0.3046
58,0,0.2261,0.1467,0,s1,0.2206,0.0488,0.2012,0.2261,0.0366
59,0,0.6215,0.2528,0,s1,0.1598,0.0414,0.2172,0.6215,0.2241
60,0,0.5401,0.2038,0,s1,0.2206,0.0497,0.0595,0.5401,0.149
61,0,0.2485,0.1136,0,s1,0.0352,0.0476,0.2313,0.2485,0.0052
62,0,0.7644,0.3889,0,s1,0.0647,0.0409,0.3724,0.7022,0.7644
63,0,0.6412,0.3177,0,s1,0.266,0.0515,0.2852,0.6412,0.3445
64,0,0.1831,0.0876,0,s1,0.1831,0.0481,0.0124,0.0273,0.1673
65,0,0.6707,0.2525,0,s1,0.1265,0.0383,0.3115,0.6707,0.1157
66,0,0.559,0.2676,0,s1,0.2592,0.0513,0.1106,0.559,0.3579
67,0,0.1642,0.1114,0,s1,0.1218,0.0434,0.0944,0.1332,0.1642
68,0,0.5862,0.2803,0,s1,0.2675,0.0514,0.1947,0.5862,0.3016
69,0,0.7988,0.3951,0,s1,0.2695,0.0513,0.3499,0.7988,0.5061
70,0,0.4717,0.2332,0,s1,0.2087,0.0494,0.0421,0.4717,0.3942
71,0,0.5696,0.3148,0,s1,0.2259,0.0499,0.5696,0.5297,0.199
72,0,0.2335,0.1521,0,s1,0.1991,0.048,0.2335,0.2081,0.0718
73,0,0.6223,0.1885,0,s1,0.0993,0.0188,0.0959,0.6223,0.106
74,0,0.749,0.2995,0,s1,0.0471,0.0101,0.1088,0.749,0.5823
75,0,4.699,1.5624,1,s1,0.1119,0.049,4.699,2.834,0.1182
76,0,2.0418,0.702,0,s1,0.2889,0.0519,0.1501,2.0418,0.9772
77,0,0.8144,0.3447,0,s1,0.2079,0.051,0.141,0.5093,0.8144
78,0,2.4832,0.6458,0,s1,0.1795,0.0509,2.4832,0.123,0.3922
79,0,0.3797,0.1954,0,s1,0.0818,0.0456,0.2952,0.1747,0.3797
80,0,0.4815,0.2108,0,s1,0.1878,0.0481,0.2554,0.4815,0.0811
81,0,0.6445,0.2765,0,s1,0.1754,0.0479,0.3025,0.6445,0.212
82,0,0.4878,0.2296,0,s1,0.1783,0.0205,0.2258,0.2356,0.4878
83,0,0.4947,0.2273,0,s1,0.2124,0.0397,0.2785,0.4947,0.1113
84,0,0.6325,0.2487,0,s1,0.1737,0.0476,0.2786,0.6325,0.1112
85,0,0.5568,0.2033,0,s1,0.1668,0.0484,0.1867,0.0578,0.5568
86,0,0.9052,0.5273,0,s1,0.6678,0.014,0.356,0.6935,0.9052
87,0,0.6792,0.4046,0,s1,0.4196,0.0209,0.3369,0.6792,0.5663
88,0,0.6388,0.3038,0,s1,0.253,0.0504,0.2665,0.6388,0.3102
89,0,1.8352,0.8352,0,s1,1.8352,0.0336,0.3721,0.6993,1.2359
90,0,0.6783,0.2834,0,s1,0.1806,0.0504,0.3361,0.6783,0.1716
91,0,0.6389,0.2387,0,s1,0.1219,0.0488,0.2799,0.6389,0.1039
92,0,0.6999,0.2692,0,s1,0.2013,0.049,0.3682,0.6999,0.0276
93,0,0.6829,0.32,0,s1,0.2438,0.0508,0.34,0.6829,0.2823
94,0,0.5567,0.2567,0,s1,0.1643,0.0491,0.3439,0.5567,0.1693
95,0,0.8933,0.3384,0,s1,0.0114,0.0495,0.8933,0.4127,0.3253
96,0,2.1374,0.6795,0,s1,0.28,0.0518,0.0146,2.1374,0.9137
