window,label,max_zscore,mean_zscore,is_anomaly,sig_key,z_auth_flow_count,z_syn_flag_sum
0,0,0.2128,0.1343,0,s2,0.2128,0.0558
6,0,0.8853,0.4706,0,s2,0.8853,0.0558
8,0,0.3362,0.196,0,s2,0.3362,0.0558
9,0,0.8853,0.4706,0,s2,0.8853,0.0558
18,0,0.3362,0.196,0,s2,0.3362,0.0558
20,0,0.3362,0.196,0,s2,0.3362,0.0558
22,0,0.7618,0.4088,0,s2,0.7618,0.0558
25,0,0.3362,0.196,0,s2,0.3362,0.0558
29,0,4.056,2.0559,1,s2,4.056,0.0558
30,0,1.8599,0.9578,0,s2,1.8599,0.0558
32,0,0.7618,0.4088,0,s2,0.7618,0.0558
49,0,0.3362,0.196,0,s2,0.3362,0.0558
51,0,0.3362,0.196,0,s2,0.3362,0.0558
75,0,0.3362,0.196,0,s2,0.3362,0.0558
79,0,0.3362,0.196,0,s2,0.3362,0.0558
114,0,0.3362,0.196,0,s2,0.3362,0.0558
127,0,0.3362,0.196,0,s2,0.3362,0.0558
141,0,0.3362,0.196,0,s2,0.3362,0.0558
143,0,0.2128,0.1343,0,s2,0.2128,0.0558
146,0,1.3108,0.6833,0,s2,1.3108,0.0558
150,0,0.3362,0.196,0,s2,0.3362,0.0558
172,0,0.8853,0.4706,0,s2,0.8853,0.0558
173,0,1.3108,0.6833,0,s2,1.3108,0.0558
175,0,0.3362,0.196,0,s2,0.3362,0.0558
184,0,0.8853,0.4706,0,s2,0.8853,0.0558
198,0,0.8853,0.4706,0,s2,0.8853,0.0558
199,0,0.2128,0.1343,0,s2,0.2128,0.0558
214,0,0.3362,0.196,0,s2,0.3362,0.0558
253,0,0.3362,0.196,0,s2,0.3362,0.0558
255,0,0.3362,0.196,0,s2,0.3362,0.0558
281,0,0.2128,0.1343,0,s2,0.2128,0.0558
282,0,0.8853,0.4706,0,s2,0.8853,0.0558
283,0,1.3108,0.6833,0,s2,1.3108,0.0558
302,0,0.3362,0.196,0,s2,0.3362,0.0558
