window,label,max_zscore,mean_zscore,is_anomaly,sig_key,z_dns_flow_count,z_dns_pkt_entropy,z_dns_byte_entropy
0,0,0.4187,0.3747,0,s3,0.3127,0.4187,0.3928
1,0,1.2031,0.4872,0,s3,1.2031,0.1852,0.0733
2,0,0.992,0.9777,0,s3,0.9887,0.9523,0.992
3,0,0.3553,0.2774,0,s3,0.2442,0.3553,0.2326
4,0,0.9202,0.8206,0,s3,0.9202,0.8834,0.6581
5,0,1.2359,1.1145,0,s3,0.9887,1.2359,1.1188
6,0,0.1918,0.0806,0,s3,0.0298,0.1918,0.0202
7,0,1.8107,1.0371,0,s3,1.8107,0.5684,0.7321
8,0,0.792,0.5692,0,s3,0.5778,0.792,0.3378
9,0,0.7236,0.5382,0,s3,0.7236,0.4084,0.4827
10,0,1.6052,0.843,0,s3,1.6052,0.5662,0.3576
11,0,1.1955,0.9514,0,s3,0.5866,1.0722,1.1955
12,0,1.0572,0.4934,0,s3,1.0572,0.1667,0.2563
13,0,0.5093,0.2209,0,s3,0.5093,0.046,0.1075
14,0,0.3723,0.1799,0,s3,0.1668,0.0005,0.3723
15,0,1.4786,0.8169,0,s3,0.0387,0.9335,1.4786
16,0,1.0958,1.075,0,s3,1.0661,1.0631,1.0958
17,0,0.8691,0.5902,0,s3,0.1757,0.7257,0.8691
18,0,0.7921,0.4175,0,s3,0.7921,0.2894,0.1709
19,0,0.398,0.3208,0,s3,0.3127,0.2516,0.398
20,0,2.0178,1.8055,0,s3,1.4086,2.0178,1.99
21,0,1.5627,0.8641,0,s3,0.0387,0.9909,1.5627
22,0,0.9196,0.63,0,s3,0.3812,0.9196,0.5891
23,0,0.1918,0.1254,0,s3,0.0298,0.1918,0.1547
24,0,1.8792,0.7539,0,s3,1.8792,0.1893,0.1932
25,0,0.7921,0.4175,0,s3,0.7921,0.2894,0.1709
26,0,0.9251,0.6416,0,s3,0.1072,0.8924,0.9251
27,0,0.2592,0.1022,0,s3,0.0298,0.2592,0.0175
28,0,1.1817,0.7683,0,s3,0.3723,1.1817,0.7508
29,0,1.7541,1.215,0,s3,0.7921,1.0987,1.7541
30,0,1.1346,0.6102,0,s3,1.1346,0.5918,0.1042
31,0,0.4497,0.2523,0,s3,0.4497,0.2016,0.1055
32,0,0.2144,0.1677,0,s3,0.1668,0.1219,0.2144
33,0,1.3854,1.1604,0,s3,0.7236,1.3723,1.3854
34,0,1.9476,0.8398,0,s3,1.9476,0.3632,0.2085
35,0,0.825,0.7176,0,s3,0.5778,0.7501,0.825
36,0,1.8792,0.6782,0,s3,1.8792,0.1172,0.0382
37,0,0.2353,0.0818,0,s3,0.2353,0.0038,0.0064
38,0,0.8628,0.5178,0,s3,0.3723,0.8628,0.3183
39,0,1.5367,0.6004,0,s3,1.5367,0.0404,0.2241
40,0,0.3507,0.2603,0,s3,0.1072,0.3229,0.3507
41,0,0.3236,0.2678,0,s3,0.2353,0.3236,0.2444
42,0,0.6258,0.352,0,s3,0.1072,0.3229,0.6258
43,0,1.5367,0.6999,0,s3,1.5367,0.3311,0.2318
44,0,0.449,0.2529,0,s3,0.3038,0.449,0.006
45,0,0.2005,0.1407,0,s3,0.0298,0.1918,0.2005
46,0,0.3011,0.1967,0,s3,0.1072,0.3011,0.1819
47,0,1.2541,1.0364,0,s3,0.7147,1.1403,1.2541
48,0,0.7236,0.5382,0,s3,0.7236,0.4084,0.4827
49,0,0.9976,0.7191,0,s3,0.9976,0.7501,0.4097
50,0,0.8517,0.5425,0,s3,0.8517,0.4626,0.3133
51,0,0.8587,0.5653,0,s3,0.1072,0.73,0.8587
52,0,1.6559,1.2667,0,s3,0.5093,1.635,1.6559
53,0,1.4432,0.9854,0,s3,0.5866,1.4432,0.9264
54,0,0.5181,0.284,0,s3,0.5181,0.1207,0.2132
55,0,1.1942,0.6212,0,s3,1.1942,0.3609,0.3084
56,0,1.4518,1.1605,0,s3,0.5866,1.4432,1.4518
57,0,1.8792,1.0123,0,s3,1.8792,0.4626,0.6951
58,0,1.1674,0.9864,0,s3,0.6463,1.1454,1.1674
59,0,0.9887,0.5378,0,s3,0.9887,0.4842,0.1404
60,0,1.4682,0.9176,0,s3,1.4682,0.2173,1.0672
61,0,0.7832,0.6511,0,s3,0.7832,0.6375,0.5325
62,0,1.2716,0.8892,0,s3,1.2716,0.6691,0.7268
63,0,1.9476,0.8078,0,s3,1.9476,0.2812,0.1946
64,0,1.2656,0.7644,0,s3,0.0298,0.9978,1.2656
65,0,1.1257,0.5679,0,s3,1.1257,0.2608,0.3171
66,0,1.7422,1.6319,0,s3,1.7422,1.6391,1.5143
67,0,1.1955,0.7564,0,s3,0.0298,1.1955,1.0439
68,0,1.8107,1.281,0,s3,1.8107,0.9272,1.105
69,0,1.6475,1.0581,0,s3,0.5778,0.9491,1.6475
70,0,0.7921,0.4175,0,s3,0.7921,0.2894,0.1709
71,0,0.3038,0.1427,0,s3,0.3038,0.0124,0.1118
72,0,0.5415,0.3976,0,s3,0.4408,0.5415,0.2105
73,0,0.5181,0.2735,0,s3,0.5181,0.0891,0.2132
74,0,0.3812,0.2236,0,s3,0.3812,0.258,0.0315
75,0,1.2031,0.4872,0,s3,1.2031,0.1852,0.0733
76,0,2.0178,1.8055,0,s3,1.4086,2.0178,1.99
77,0,0.7921,0.5032,0,s3,0.7921,0.3188,0.3988
78,0,0.3736,0.2845,0,s3,0.1757,0.3736,0.3043
79,0,1.4518,1.1605,0,s3,0.5866,1.4432,1.4518
80,0,1.0667,0.745,0,s3,0.7236,0.4448,1.0667
81,0,1.2627,0.4561,0,s3,1.2627,0.0627,0.0429
82,0,1.7311,1.0256,0,s3,0.2442,1.1015,1.7311
83,0,1.0572,0.4109,0,s3,1.0572,0.0727,0.1027
84,0,0.907,0.7245,0,s3,0.7147,0.5517,0.907
85,0,0.5181,0.3292,0,s3,0.5181,0.1275,0.3419
86,0,1.1993,0.9607,0,s3,0.5093,1.1735,1.1993
87,0,0.1218,0.089,0,s3,0.1072,0.1218,0.038
88,0,1.8107,1.0386,0,s3,1.8107,0.6441,0.661
89,0,2.0178,1.8055,0,s3,1.4086,2.0178,1.99
90,0,1.5367,0.7909,0,s3,1.5367,0.4123,0.4238
91,0,0.8043,0.7219,0,s3,0.6463,0.7152,0.8043
92,0,1.3312,0.81,0,s3,1.3312,0.5157,0.5832
93,0,1.8792,1.2536,0,s3,1.8792,1.0649,0.8168
94,0,1.0273,0.8223,0,s3,0.4497,0.9899,1.0273
95,0,0.4517,0.1777,0,s3,0.0387,0.0428,0.4517
96,0,1.2031,0.6085,0,s3,1.2031,0.5491,0.0733
97,0,2.0178,1.8055,0,s3,1.4086,2.0178,1.99
98,0,0.9976,0.7928,0,s3,0.9976,0.6881,0.6926
99,0,1.1761,1.1075,0,s3,0.9976,1.1488,1.1761
100,0,0.8462,0.5575,0,s3,0.0298,0.7965,0.8462
101,0,1.0572,0.6207,0,s3,1.0572,0.3255,0.4793
102,0,0.7147,0.5866,0,s3,0.7147,0.5934,0.4516
103,0,0.622,0.5749,0,s3,0.5093,0.5933,0.622
104,0,0.9887,0.5417,0,s3,0.9887,0.5147,0.1217
105,0,1.2716,0.8892,0,s3,1.2716,0.6691,0.7268
106,0,1.3997,0.9517,0,s3,1.3997,0.7819,0.6735
107,0,1.7422,1.0754,0,s3,1.7422,0.8091,0.6749
108,0,1.5367,1.1999,0,s3,1.5367,1.0136,1.0495
109,0,0.2936,0.1853,0,s3,0.2442,0.0182,0.2936
110,0,0.7574,0.3875,0,s3,0.1757,0.7574,0.2295
111,0,1.5367,1.3309,0,s3,1.5367,1.172,1.284
112,0,0.8449,0.6444,0,s3,0.2442,0.8449,0.844
114,0,0.3812,0.2101,0,s3,0.3812,0.1803,0.0687
115,0,1.9647,1.7437,0,s3,1.4682,1.7983,1.9647
116,0,1.2031,0.7889,0,s3,1.2031,0.5491,0.6144
117,0,0.9291,0.7553,0,s3,0.9291,0.9196,0.4172
118,0,0.5343,0.3912,0,s3,0.1757,0.4635,0.5343
119,0,1.6737,1.2458,0,s3,1.6737,1.1051,0.9585
