window,label,max_zscore,mean_zscore,is_anomaly,sig_key,z_file_flow_count,z_pkt_len_variance,z_file_pkt_entropy
0,0,0.6943,0.3672,0,s4,0.6943,0.3485,0.0588
1,0,1.0035,0.6812,0,s4,1.0035,0.507,0.5331
2,0,1.7184,1.2854,0,s4,0.4397,1.7184,1.6981
3,0,1.7939,1.36,0,s4,0.7488,1.7939,1.5374
4,0,0.9871,0.475,0,s4,0.3548,0.9871,0.0831
5,0,0.7193,0.5624,0,s4,0.6094,0.7193,0.3586
6,0,1.6989,1.1202,0,s4,0.579,1.6989,1.0827
8,0,1.1173,0.6201,0,s4,0.2699,0.4731,1.1173
9,0,1.2672,0.8037,0,s4,0.8337,0.3102,1.2672
10,0,1.4583,0.8734,0,s4,1.4583,0.4132,0.7486
11,0,1.2581,0.7685,0,s4,1.2581,0.0806,0.9668
12,0,1.2474,0.941,0,s4,0.6943,0.8813,1.2474
13,0,1.1839,0.5598,0,s4,0.4397,0.0559,1.1839
14,0,0.341,0.1606,0,s4,0.1001,0.341,0.0406
15,0,0.8641,0.3902,0,s4,0.8641,0.2658,0.0406
16,0,0.7498,0.6446,0,s4,0.579,0.605,0.7498
17,0,0.5324,0.1843,0,s4,0.0152,0.5324,0.0052
18,0,1.1009,0.8796,0,s4,0.5245,1.1009,1.0133
19,0,0.7317,0.4383,0,s4,0.2699,0.3132,0.7317
20,0,1.0883,1.0148,0,s4,1.0883,1.0496,0.9065
21,0,0.8841,0.3883,0,s4,0.0152,0.8841,0.2656
22,0,0.7792,0.4658,0,s4,0.7792,0.2978,0.3205
23,0,1.2023,0.9793,0,s4,0.7488,1.2023,0.9869
24,0,1.9485,1.2816,0,s4,1.5432,0.3531,1.9485
25,0,0.5981,0.336,0,s4,0.0152,0.5981,0.3946
26,0,0.6793,0.4362,0,s4,0.2699,0.6793,0.3593
27,0,0.4669,0.3798,0,s4,0.4397,0.4669,0.2328
28,0,0.6943,0.581,0,s4,0.6943,0.5491,0.4997
29,0,1.0339,0.6868,0,s4,1.0339,0.7324,0.2941
30,0,0.8641,0.5763,0,s4,0.8641,0.5576,0.3073
31,0,1.0421,0.7289,0,s4,0.3243,0.8203,1.0421
32,0,1.4146,1.1402,0,s4,0.7792,1.4146,1.2269
33,0,1.9806,1.6234,0,s4,1.6826,1.9806,1.207
35,0,1.3191,0.5587,0,s4,0.0697,0.2873,1.3191
36,0,1.9485,1.1846,0,s4,1.5432,0.0622,1.9485
37,0,1.5899,0.7663,0,s4,0.0697,1.5899,0.6394
38,0,2.7679,1.5119,0,s4,0.3243,2.7679,1.4436
39,0,1.1188,1.0276,0,s4,1.1188,1.1175,0.8466
40,0,0.3137,0.1905,0,s4,0.2395,0.0182,0.3137
41,0,0.542,0.4546,0,s4,0.4092,0.542,0.4126
42,0,1.3007,0.7858,0,s4,0.0697,1.3007,0.987
43,0,1.9485,1.4598,0,s4,1.2885,1.1425,1.9485
44,0,0.8132,0.5283,0,s4,0.0697,0.702,0.8132
45,0,1.4864,0.6713,0,s4,0.4941,0.0334,1.4864
46,0,0.6687,0.3436,0,s4,0.185,0.1771,0.6687
47,0,0.938,0.5383,0,s4,0.2699,0.4071,0.938
48,0,0.9186,0.6643,0,s4,0.9186,0.3445,0.7298
49,0,0.59,0.3333,0,s4,0.1546,0.59,0.2552
50,0,1.0339,0.5972,0,s4,1.0339,0.4955,0.2621
51,0,0.9616,0.7496,0,s4,0.6094,0.9616,0.6777
52,0,0.8631,0.394,0,s4,0.185,0.1338,0.8631
53,0,0.8423,0.7401,0,s4,0.7792,0.5987,0.8423
54,0,1.4885,1.3706,0,s4,1.2581,1.3651,1.4885
55,0,0.7792,0.4525,0,s4,0.7792,0.2206,0.3576
56,0,1.5128,1.1418,0,s4,1.5128,0.6905,1.2222
58,0,0.4889,0.3901,0,s4,0.2699,0.4889,0.4116
59,0,1.0649,0.8449,0,s4,0.5245,1.0649,0.9452
60,0,1.0339,0.6974,0,s4,1.0339,0.4534,0.605
61,0,1.2093,0.7513,0,s4,0.4397,1.2093,0.605
62,0,2.107,1.0445,0,s4,2.107,0.3148,0.7118
64,0,1.267,0.6223,0,s4,0.3243,0.2756,1.267
65,0,0.8777,0.6543,0,s4,0.6094,0.4757,0.8777
66,0,1.4583,1.1088,0,s4,1.4583,1.1195,0.7486
67,0,0.579,0.4596,0,s4,0.579,0.2639,0.5358
68,0,1.9485,1.5447,0,s4,1.5432,1.1425,1.9485
69,0,1.4583,0.8841,0,s4,1.4583,0.4455,0.7486
70,0,0.5173,0.3477,0,s4,0.2699,0.2559,0.5173
71,0,0.8745,0.4936,0,s4,0.4397,0.1665,0.8745
72,0,0.949,0.4133,0,s4,0.949,0.1395,0.1513
73,0,0.7288,0.4027,0,s4,0.2395,0.2397,0.7288
74,0,0.9727,0.769,0,s4,0.7488,0.5854,0.9727
75,0,0.6246,0.3318,0,s4,0.3548,0.0161,0.6246
76,0,1.9485,1.4598,0,s4,1.2885,1.1425,1.9485
77,0,0.9205,0.5255,0,s4,0.6094,0.9205,0.0467
78,0,0.6943,0.6146,0,s4,0.6943,0.516,0.6336
