window,label,max_zscore,mean_zscore,is_anomaly,sig_key,z_avg_asymmetry,z_asymmetry_entropy,z_down_up_ratio
0,0,1.3514,0.5506,0,s6,1.3514,0.2361,0.0642
1,0,0.5391,0.3625,0,s6,0.0925,0.5391,0.4559
2,0,0.6969,0.3859,0,s6,0.2016,0.6969,0.2593
3,0,0.928,0.5956,0,s6,0.928,0.8271,0.0317
4,0,0.7931,0.4657,0,s6,0.7931,0.4422,0.1617
5,0,0.9101,0.5114,0,s6,0.9101,0.3974,0.2268
6,0,0.8094,0.3802,0,s6,0.2654,0.8094,0.0658
7,0,1.0587,0.7038,0,s6,1.0587,0.696,0.3568
8,0,0.8993,0.4011,0,s6,0.2399,0.8993,0.0642
9,0,0.7915,0.6021,0,s6,0.7915,0.624,0.3909
10,0,0.5215,0.2966,0,s6,0.0766,0.5215,0.2918
11,0,1.1588,0.5617,0,s6,1.1588,0.233,0.2934
12,0,0.6232,0.4695,0,s6,0.591,0.6232,0.1942
13,0,0.7236,0.4188,0,s6,0.4671,0.7236,0.0658
14,0,0.6846,0.2849,0,s6,0.0393,0.6846,0.1308
15,0,0.8405,0.6267,0,s6,0.8405,0.5836,0.4559
16,0,0.6509,0.4015,0,s6,0.5484,0.0052,0.6509
17,0,0.6628,0.4287,0,s6,0.395,0.6628,0.2284
18,0,0.3056,0.1691,0,s6,0.3056,0.1033,0.0983
19,0,0.3806,0.2879,0,s6,0.3806,0.3198,0.1633
20,0,0.2934,0.2209,0,s6,0.2287,0.1406,0.2934
21,0,0.3909,0.2968,0,s6,0.2221,0.2774,0.3909
22,0,0.562,0.3435,0,s6,0.3377,0.562,0.1308
23,0,0.526,0.3316,0,s6,0.4681,0.526,0.0008
24,0,0.7127,0.5906,0,s6,0.7127,0.6697,0.3893
25,0,0.4559,0.2951,0,s6,0.1092,0.3202,0.4559
26,0,0.8272,0.4575,0,s6,0.8272,0.2859,0.2593
27,0,0.4194,0.1641,0,s6,0.0412,0.4194,0.0317
28,0,0.4483,0.3175,0,s6,0.2759,0.4483,0.2284
29,0,0.6801,0.3334,0,s6,0.6801,0.0607,0.2593
30,0,1.0347,0.4662,0,s6,1.0347,0.007,0.3568
31,0,0.433,0.17,0,s6,0.433,0.0128,0.0642
32,0,0.438,0.2267,0,s6,0.2088,0.438,0.0333
33,0,1.7716,0.7316,0,s6,1.7716,0.2614,0.1617
34,0,0.933,0.6382,0,s6,0.5923,0.933,0.3893
35,0,0.7156,0.316,0,s6,0.1682,0.7156,0.0642
36,0,1.3244,0.7172,0,s6,1.3244,0.4379,0.3893
